ID,ACCOUNT Name,utm_source,user,TL
fb322043034320979,PRAsuji,ro135_s,Lata,Ranjan sir
fb201283739733566,BHUella,ro54_s,Aarti,Sumant sir
fb124901177260536,Digital De,ro1_s,Anupama,Hari sir
fb111251485360528,Parid,ro11_s,Anupama,Rahul sir
fb200021543195245,SaMyur,ro52_s,Gaurav Sharma,Ranjan sir
fb104947819338702,kash,ro12_s,Krishna,Rahul sir
fb102488576270120,Hari,ro13_s,Anupama,Dileep sir
fb178991565305654,GANera,ro55_s,Shivani,Hari sir
fb109208288869880,Idealising,ro125_s,Likita,Bipan sir
fb113909561622444,Mesgm,ro126_s,Anupama,Bipan sir
fb340169469168665,PRUTrita,ro124_s,Shubham,Bipan sir
fb106036885857306,Sunlight Finance,ro130_s,Aarti,Rahul sir
fb104852861800025,Stock_inshots,ro138_s,Vikas,Ranjan sir
fb111397618642923,Spaciouss,ro137_s,Vikas,Ranjan sir
fb335571776296414,SAGranu,ro136_s,Archana,Ranjan sir
fb100684312979547,Payday,ro139_s,Vikas,Rupali ma'am
fb115105634940797,Eloans,ro140_s,Vikas,Rupali ma'am
fb343759058809955,DIVprad,ro141_s,Vikas,Rupali ma'am
fb120871060949001,Fincornor,ro112_s,Hardeep,Hari sir
fb115093684942177,ELending,ro114_s,Hardeep,Hari sir
fb323129074212132,Tech Guru,ro113_s,Hardeep,Hari sir
fb352156944657539,Nutri Health,ro115_s,Satyam,Hari sir
fb1228004077322580,Unmute Themes,ro119_s,Archana,Subhajit sir
fb113181188481736,Bonsai India,ro121_s,Neha,subhajit sir
fb645486352225306,Techackspro,ro120_s,Krishna,Subhajit sir
fb284116164792708,ABHano,ro122_s,Gaurav Sharma,Subhajit sir
fb326000977259091,DEErita,ro123_s,Aarti,Subhajit sir
fb100408059535207,Ecomshop,ro128_s,Hardeep,Dileep sir
fb106127288151886,Shrivas masala,ro129_s,Hardeep,Dileep sir
fb330843480104766,VINand,ro127_s,Hardeep,Dileep sir
fb165030160747532,Regrow hair,ro116_s,Shubham,Sumant sir
fb1365644336845650,herbal health,ro117_s,Shubham,Sumant sir
fb107899052340239,finance assistance,ro118_s,Shubham,Sumant sir
fb443363225528976,Ottfundz,ro71_s,Gaurav Sharma,Rupali ma'am
fb390390604168089,Digitfine,ro72_s,Likita,Sumant sir
fb451588188036709,Finbox,ro73_s,Archana,Bipan sir
fb435799219622240,Moneymaze,ro74_s,Satyam,Dileep sir
fb466650169862967,Noah,ro75_s,Gaurav Sharma,Hari sir
fb499192266605765,Debitdrip,ro76_s,Krishna,Subhajit sir
fb456330160894734,ZenAssets,ro77_s,Aarti,Ranjan sir
fb443710285493887,MoneyMaven,ro78_s,Krishna,Rahul sir
fb459547243908843,VibrantCash,ro79_s,Aarti,Rupali ma'am
fb444527872082532,ClarityCapital,ro80_s,Shivani,Sumant sir
fb403831256156056,FundFlare,ro81_s,Shivani,Ranjan sir
fb472314119290854,FiscallyFit,ro82_s,Lata,Bipan sir
fb466839899841537,EagleEye,ro83_s,Aarti,Rahul sir
fb433530763180028,InfinityWealth,ro84_s,Shivani,Subhajit sir
fb485995167921655,StarSpire,ro85_s,Aarti,Hari sir
fb442630812272302,MoneyMisfits,ro86_s,Gaurav Dass,Rupali ma'am
fb491267484059128,Shylock,ro87_s,Neha,Bipan sir
fb419427041262334,Loanshark,ro88_s,Krishna,Subhajit sir
fb479669788556056,PawnBroke,ro89_s,Likita,Sumant sir
fb485808744608625,RadiantReturn,ro90_s,Gaurav Sharma,Rahul sir
fb430574676811983,Sharkfin,ro91_s,Lata,Bipan sir
fb385255398014810,Stakeman,ro92_s,Gaurav Dass,Hari sir
fb430542420150979,Cashsplash,ro93_s,Gaurav Sharma,Hari sir
fb480364848485565,Coinzone,ro94_s,Anupama,Subhajit sir
fb394486073758934,Funkfactory,ro95_s,Gaurav Sharma,Bipan sir
fb388117434395341,VibeTribe,ro96_s,Gaurav Sharma,Sumant sir
fb384039828136891,Mindfulbox,ro97_s,Krishna,Dileep sir
fb389764920898155,Dailybuzz,ro98_s,Satyam,Ranjan sir
fb475450125646997,EpicEscapes,ro99_s,Satyam,Sumant sir
fb465469333314342,Primehub,ro100_s,Likita,Subhajit sir
fb462314196963003,QuickCap,ro103_s,Satyam,Rupali ma'am
fb436726776194737,OptimaFunds,ro101_s,Archana,Rahul sir
fb449247561605985,BrightPath,ro102_s,Archana,Rupali ma'am
fb472372122621165,MagellanicFund,ro106_s,Lata,Rupali ma'am
fb480842078439096,TriangulumCash,ro107_s,Anupama,Ranjan sir
fb446102385254007,WealthFront,ro108_s,Lata,Dileep sir
fb437811489420261,Elevatecash,ro109_s,Shivani,Dileep sir
fb446664925198516,Optimacash,ro104_s,Vikas,Hari sir
fb414556795082058,Pinewheel,ro105_s,Nidhi,Subhajit sir
fb445286102008008,SphereFund,ro110_s,Aarti,Ranjan sir
fb435795176291029,Hashwhiz finance,ro131_s,Shubham,Rahul sir
fb473833415809926,Swifts fund,ro132_s,Hardeep,Rahul sir
fb117024801407902,Seo_Emailer,ro2_s,Krishna,Rahul sir
fb102377139575468,zak,ro5_s,Shivani,Bipan sir
fb100759869744289,vab,ro7_s,Likita,Subhajit sir
fb108660812285553,Scink,ro9_s,Archana,Dileep sir
fb113961835084793,chan,ro10_s,Archana,Bipan sir
fb430618723477943,Dream_Infinity,ro133_s,Archana,Rahul sir
fb431685786704556,Fundz buddy,ro134_s,Aarti,Rahul sir
fb468136289940848,kbc,ro111_s,Anupama,Rupali ma'am
